AA;Hamburg-Altona;Hamburg-Altona;Bf
AADF;Adendorf;Adendorf;Bf
AAE;Brest-Aspe;Brest-Aspe;NE-Hp
AAG;Ascheberg (Holst);Ascheberg/Holst;Bf
AAH;Aumühle;Aumühle;Bf
AAH A;Aumühle Abzw;Aumühle Abzw;Bft Abzw
AAHN;Ahrensburg Nord;Ahrensburg Nord;Awanst
AAHR;Ahrensburg;Ahrensburg;Bf
AAI;Hamburg Airport;Hamburg Airport;Bf
AALM;Hamburg-Allermöhe;Allermöhe Abzw;Abzw
AALS;Itzehoe Alsen;Alsen;Bft
AAN;Hamburg-Altona (neu);Hmb-Altona (neu);Bft
AAN K;Hamburg-Altona Kleingärten;Hmb-A/Kl.-Gart.;Bft
AAN S;Hamburg-Altona Stellingen;Hmb-A/Stellingen;Bft
AAPL;Apeler;Apeler;NE-Bf
AAPS;Apensen;Apensen;NE-Bf
AAR;Hamburg Rainweg;Rainweg;Abzw
AARF;Ahrensfelde (Bz Bremen);Ahrensfelde/Brm;NE-Bf
AAS;Hamburg-Altona (S-Bahn);Altona (S-Bahn);Bf
AAS O;Hamburg-Ottensen (S-Bahn);Hmb-Ottensen S-B;Bft
AASA;Ashausen Abzw;Ashausen Abzw;Abzw
AAV;Alveslohe;Alvesloe;NE-Hp
AB;Hamburg-Blankenese;Blankenese;Bf
ABAA;Basdahl;Basdahl;NE-Hp
ABAAK;Basdahl-Kluste;Basdahl-Kluste;NE-Hp
ABAD;Bardowick;Bardowick;Bf
ABAE;Bargteheide;Bargteheide;Bf
ABAG;Hamburg-Barmbek;Hamburg-Barmbek;Bf
ABAH;Hamburg-Bahrenfeld Abzw;Bahrenfeld Abzw;Abzw
ABAP;Hamburg-Barmbek (S-Bahn);Barmbek (S-Bahn);Bf
ABAT;Bargstedt;Bargstedt;NE-Hp Anst
ABBG;Blocksberg;Blocksberg;NE-Bf
ABBK;Hamburg-Billbrook;Hmb-Billbrook;NE-Bf
ABCH;Büchen;Büchen;Bf
ABCHG;Büchen Bbf;Büchen Bbf;Bft
ABCL;Barchel;Barchel;NE-Hp
ABDF;Beschendorf;Beschendorf;Bf
ABDS;Hamburg-Bergedorf Süd;Hmb-Berged.Süd;NE-Bf
ABEV;Bevern (Bremervörde);Bevern;NE-Bf
ABG;Hamburg-Bergedorf;Hmb-Bergedorf;Bf
ABG G;Hamburg-Bergedorf Gbf;Hmb-Berged Gbf;Bft
ABG S;Hamburg-Bergedorf (S-Bahn);Hmb-Bergedorf S;Bft
ABHT;Bokholt;Bokholt;NE-Hp
ABIL;Bienenbüttel;Bienenbüttel;Bf
ABIS;Hamburg-Billstedt;Hmb-Billstedt;NE-Bf
ABK;Brunsbüttel;Brunsbüttel;Bf
ABLZ;Buchholz (Nordheide);Buchholz (Nordh);Bf
ABMB;Barmstedt Brunnenstraße;Barm Brunnenstr;NE-Hp
ABMS;Barmstedt;Barmstedt;NE-Bf
ABNS;Bönningstedt;Bönningstedt;NE-Bft
ABOE;Bötersen;Bötersen;NE-Hp
ABOS;Boostedt;Boostedt;NE-Bf
ABRD;Bordesholm;Bordesholm;Bf
ABRI;Brillit;Brillit;NE-Hp Anst
ABRM;Brandenbaum;Brandenbaum;Abzw
ABRO;Brockel;Brockel;NE-Bf
ABRS;Brokstedt;Brokstedt;Bf
ABSD;Bad Bramstedt;Bad Bramstedt;NE-Bf
ABSF;Börnsen;Börnsen;NE-Hp
ABSK;Bad Bramstedt Kurhaus;Bad Bramst Kurh;NE-Hp
ABSM;Büsum;Büsum;Bf
ABST;Bredstedt;Bredstedt;Bf
ABTSB;Hamburg Berliner Tor (Bergedorf);Berliner Tor B;Bft
ABTSL;Hamburg Berliner Tor (Landwehr);Berliner Tor L;Bft
ABUA;Burg (Fehmarn) Abzw;Burg (F) Abzw;Bft Abzw
ABUF;Fehmarn-Burg;Fehmarn-Burg;NE-Bft
ABUW;Burg (Fehmarn) West;Burg(F)West;Bf
ABUWN;Burg (Fehmarn) West Abzw Bft;Burg (F) W Abzw;Bft Abzw
ABV;Bremervörde;Bremervörde;NE-Bf
ABVD;Bremervörde Süd;Bremervörde Süd;NE-Bf
ABVS;Bad Bevensen;Bad Bevensen;Bf
ABWD;Hamburg-Burgwedel;Burgwedel;NE-Hp
ABWM;Hamburg-Billwerder-Moorfleet;Billw-Moorfl;Bf
ABX;Buxtehude;Buxtehude;Bf
ABXA;Buxtehude Abzw;Buxtehude Abzw;Bft Abzw
ACD;Cadenberge;Cadenberge;Bf
ACV;Cuxhaven;Cuxhaven;Bf
ACV F;Cuxhaven CF;Cuxhaven CF;Bft
ACV G;Cuxhaven Gbf;Cuxhaven Gbf;Bft
ACV M;Cuxhaven Amerika Bahnhof;Cux Amerika Bf;Bft
ADA;Dalldorf;Dalldorf;Bf
ADB;Dannenberg Ost;Dannenberg Ost;Bf
ADBH;Dagebüll Hafen;Dagebüll Hafen;NE-Bf
ADBK;Dagebüll Kirche;Dagebüll Kirche;NE-Hp
ADEV;Deutsch Evern;Deutsch Evern;Bf
ADH;Dauenhof;Dauenhof;Bf
ADL;Dahlenburg;Dahlenburg;Bf
ADM;Dagebüll Mole;Dagebüll Mole;NE-Bf
ADO;Dorum;Dorum;Bf
ADS;Deinste;Deinste;NE-Bf
ADT;Hamburg Diebsteich;Diebsteich;Bf
ADZB;Deezbüll;Deezbüll;NE-Hp
AE;Hamburg-Eidelstedt;Hmb-Eidelstedt;Bf
AE F;Hamburg-Eidelstedt (Ef);Hmb-Eidelst Ef;Bft
AE N;Hamburg-Eidelstedt (En);Hmb-Eidelst En;Bft
AE O;Hamburg-Eidelstedt (Eo);Hmb-Eidelst Eo;Bft
AEBG;Escheburg;Escheburg;NE-Hp
AEC;Eckernförde;Eckernförde;Bf
AEGS;Hamburg Elbgaustraße;Elbgaustraße;Bf
AEGT;Hamburg Gutenbergstraße Abzw;Gutenbergst Abzw;Bft Abzw
AEL;Elmshorn;Elmshorn;Bf
AEL N;Elmshorn Nord;Elmshorn Nord;Bft
AEL W;Elmshorn West;Elmshorn West;Bft
AELA;Ellerau;Ellerau;NE-Bf
AENZ;Hamburg-Eidelstedt Zentrum;Hmb-Eidelst Zent;NE-Bf
AERI;Hamburg Ericus;Ericus;Abzw
AESA;Elbgaustraße-Stellingen (AKN);Stell (AKN);NE-Bft
AESL;Essel (Kr Stade);Essel (Kr Stade);NE-Hp
AEST;Hamburg-Eidelstedt (S-Bahn);Eidelst (S-Bahn);Bft
